technology,Bottom storage temperature,C in fuel,C stored,CO2 intensity,CO2 stored,FOM,Motor size,Top storage temperature,VOM,ammonia-input,c_b,c_v,capacity,capture rate,capture_rate,carbondioxide-input,carbondioxide-output,clinker-input,coal-input,commodity,compression-electricity-input,compression-heat-output,discount rate,district heat surcharge,district heat-input,economic_lifetime,efficiency,efficiency-biochar,efficiency-biomass,efficiency-electricity,efficiency-heat,efficiency-hydrogen,efficiency-tot,electricity-input,energy to power ratio,fuel,gas-input,hbi-input,heat-input,heat-output,hydrogen-input,investment,lifetime,lohc-input,methane-input,methanol-input,min_fill_level,naphtha-input,nitrogen-input,oil-input,ore-input,p_nom_ratio,pelletizing cost,scrap-input,slag-input,standing losses,temperature difference,wood-input,yield-biochar,marginal_cost,capital_cost
methane storage tank incl. compressor,,,,0.0,,1.9,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,11312.1952,30.0,,,,,,,,,,,,,,,,,0.0,1126.5408357836552
methanol,,,,0.2482,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,0.0,0.0
methanol-to-kerosene,,,,0.0,,4.5,,,1.6974,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,0.0279,338223.0077,30.0,,,1.0764,,,,,,,,,,,,,,1.6974,42476.21112175386
methanol-to-olefins/aromatics,,,,0.0,,3.0,,,40.0741,,,,,,,,0.6107,,,,,,0.07,,,,1.0,,,,,,,1.3889,,0.0,,,,,,3510490.5712,30.0,,,18.03,,,,,,,,,,,,,,40.0741,388212.52682867437
methanolisation,,,,0.0,,2.8,,,0.0,,,,,0.9,,0.248,,,,,,,0.07,,,,1.0,,,,,,,0.271,,0.0,,,,0.1,1.138,1364.7451,30.0,,,,,,,,,,,,,,,,,0.0,148.1927621184118
micro CHP,,,,0.0,,6.1111,,,0.0,,,,,,,,,,,,,,0.07,,,,0.351,,,,0.609,,,,,0.0,,,,,,9898.6677,20.0,,,,,,,,,,,,,,,,,0.0,1539.2816869779633
natural gas direct iron reduction furnace,,,,0.0,,11.3,,,0.0,,,,,,,,,,,,,,0.07,,,20.0,1.0,,,,,,,,,0.0,2.78,,,,,5378698.8822,40.0,,,,,,,,1.59,,,,,,,,,0.0,1011244.5451028723
nuclear,,,,0.0,,1.27,,,4.459,,,,,,,,,,,,,,0.07,,,,0.326,,,,,,,,,7.4536,,,,,,10805.7038,40.0,,,,,,,,,,,,,,,,,27.322803680981593,947.7589752212987
offwind,,,,0.0,,2.3185,,,0.0267,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,2114.991,30.0,,,,,,,,,,,,,,,,,0.0267,219.47558448336855
offwind-ac-connection-submarine,,,,0.0,,2.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,4510.0,40.0,,,,,,,,,,,,,,,,,0.0,451.04121631998254
offwind-ac-connection-underground,,,,0.0,,2.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,4510.0,40.0,,,,,,,,,,,,,,,,,0.0,451.04121631998254
offwind-ac-station,,,,0.0,,1.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,850.0,40.0,,,,,,,,,,,,,,,,,0.0,76.50776804256877
offwind-dc-connection-submarine,,,,0.0,,2.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,3220.0,40.0,,,,,,,,,,,,,,,,,0.0,322.0294271730252
offwind-dc-connection-underground,,,,0.0,,2.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,4070.0,40.0,,,,,,,,,,,,,,,,,0.0,407.037195215594
offwind-dc-station,,,,0.0,,1.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,1070.0,40.0,,,,,,,,,,,,,,,,,0.0,96.30977859476303
offwind-float,,,,0.0,,1.15,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,2954.7363,20.0,,,,,,,,,,,,,,,,,0.0,312.885671606802
offwind-float-connection-submarine,,,,0.0,,2.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,3220.0,40.0,,,,,,,,,,,,,,,,,0.0,322.0294271730252
offwind-float-connection-underground,,,,0.0,,2.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,4070.0,40.0,,,,,,,,,,,,,,,,,0.0,407.037195215594
offwind-float-station,,,,0.0,,1.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,1070.0,40.0,,,,,,,,,,,,,,,,,0.0,96.30977859476303
oil,,,,0.2571,,2.463,,,8.0148,,,,,,,,,,,,,,0.07,,,,0.35,,,,,,,,,43.6295,,,,,,458.1805,25.0,,,,,,,,,,,,,,,,,132.6705142857143,50.60169140042317
onwind,,,,0.0,,1.2167,,,1.8033,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,1383.3059,30.0,,,,,,,,,,,,,,,,,1.8033,128.3063303220008
organic rankine cycle,,,,0.0,,2.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.12,,0.0,,,,,,1730.0924,30.0,,,,,,,,,,,,,,,,,0.0,174.02377225790678
ror,,,,0.0,,2.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.9,,,,,,,,,0.0,,,,,,4332.7919,80.0,,,,,,,,,,,,,,,,,0.0,391.3099121855736
seawater RO desalination,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.003,,0.0,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,0.0,0.0
seawater desalination,,,,0.0,,4.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,3.0348,,0.0,,,,,,43923.9463,30.0,,,,,,,,,,,,,,,,,0.0,5296.630712332179
shipping fuel methanol,,,,0.2482,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,90.5281,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,90.5281,0.0
solar,,,,0.0,,1.9495,,,0.0134,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,683.1462,40.0,,,,,,,,,,,,,,,,,0.0134,64.56014335577916
solar-rooftop,,,,0.0,,1.4234,,,0.0,,,,,,,,,,,,,,0.04,,,,1.0,,,,,,,,,0.0,,,,,,883.8138,40.0,,,,,,,,,,,,,,,,,0.0,57.233562718277014
solar-rooftop commercial,,,,0.0,,1.573,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,711.4086,40.0,,,,,,,,,,,,,,,,,0.0,64.5526037512807
solar-rooftop residential,,,,0.0,,1.2737,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,1056.2191,40.0,,,,,,,,,,,,,,,,,0.0,92.6791478295597
solar-utility,,,,0.0,,2.4757,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,482.4785,40.0,,,,,,,,,,,,,,,,,0.0,48.135017034531195
solar-utility single-axis tracking,,,,0.0,,2.2884,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,571.4213,40.0,,,,,,,,,,,,,,,,,0.0,55.93822467623894
solid biomass,,,,0.3667,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,17.3312,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,17.3312,0.0
solid biomass boiler steam,,,,0.0,,6.0754,,,3.5768,,,,,,,,,,,,,,0.07,,,,0.89,,,,,,,,,0.0,,,,,,748.1712,25.0,,,,,,,,,,,,,,,,,3.5768,109.65535072640604
solid biomass boiler steam CC,,,,0.0,,6.0754,,,3.5768,,,,,,,,,,,,,,0.07,,,,0.89,,,,,,,,,0.0,,,,,,748.1712,25.0,,,,,,,,,,,,,,,,,3.5768,109.65535072640604
solid biomass to hydrogen,,,,0.0,,4.25,,,0.0,,,,,0.9,,,,,,,,,0.07,,,,0.56,,,,,,,,,0.0,,,,,,4679.9862,25.0,,,,,,,,,,,,,,,,,0.0,600.4914499075775
steel carbon capture retrofit,,,,0.0,,5.0,,,0.0,,,,,,0.9,,,,,,,,0.07,,,,1.0,,,,,,,0.16,,0.0,0.76,,,,,4477916.402,20.0,,,,,,,,,,,,,,,,,0.0,646579.4505184926
uranium,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,7.4536,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,7.4536,0.0
waste CHP,,,,0.0,,2.355,,,35.4254,,0.2918,1.0,,,,,,,,,,,0.07,,,,0.2081,,,,0.7619,,,,,0.0,,,,,,10833.8897,25.0,,,,,,,,,,,,,,,,,35.4254,1184.7997811036416
